Sailfish	Salmon	STAR-HTSeq
AT1G01700             0.027275             -0.736977             0.210879
AT1G02430             0.688033             0.319928             -0.249573
AT1G02705             1.298840             1.237514             0.155389
AT1G03495             0.666958             -0.522245             0.695759
AT1G03940             0.574735             -0.928670             0.523294
AT1G03990             0.456284             -1.086260             0.546100
AT1G04290             1.480834             1.422189             0.409405
AT1G04940             1.629847             1.640126             -0.011029
AT1G05090             1.164100             1.171559             0.257791
AT1G05250             1.813154             1.832082             -0.776276
AT1G06250             0.145911             -1.000896             0.383501
AT1G06450             0.567694             0.410661             -0.560835
AT1G07590             2.487704             2.515542             1.462616
AT1G08270             0.674754             -0.368851             0.226550
AT1G08590             0.391974             0.075092             -1.515202
AT1G09610             0.053236             0.073383             -0.957377
AT1G11900             0.495775             0.515901             -0.492046
AT1G12210             0.030534             -0.016417             -1.425853
AT1G14450             2.174720             2.195885             0.685340
AT1G15190             0.067744             -1.058265             0.170971
AT1G15825             0.974920             0.373618             -0.493337
AT1G15840             0.184234             -0.909312             0.288499
AT1G17610             0.304370             0.407309             -1.143640
AT1G17744             -0.549368             0.034819             -0.881633
AT1G17990             0.632302             0.650980             -0.801714
AT1G18000             1.479289             1.212196             -1.200984
AT1G18980             1.399421             1.437701             -0.230524
AT1G19396             1.801154             1.719332             0.788746
AT1G19630             -0.283699             -1.232852             -1.451992
AT1G20470             0.760564             -0.063422             -0.278518
AT1G24880             3.234554             3.185196             -0.334693
AT1G26250             1.957359             1.993294             0.055657
AT1G26720             0.201211             -0.857442             -0.773240
AT1G27920             1.354581             -0.080701             -1.253732
AT1G31200             0.868202             0.682288             -0.485535
AT1G34315             1.141349             0.333690             1.338812
AT1G44740             0.141221             -1.014681             0.299071
AT1G47130             0.811490             0.514256             1.691871
AT1G48560             -0.620060             0.121506             -1.273419
AT1G50750             -0.136633             -1.070780             -0.033480
AT1G51550             0.893203             0.853360             -0.091420
AT1G53230             1.638288             1.647932             0.404647
AT1G55180             0.450792             -0.473152             0.551012
AT1G55670             3.442028             3.604441             2.446498
AT1G58220             0.781763             0.849778             -0.082504
AT1G58848             1.086337             1.116080             -0.707533
AT1G59218             0.516836             0.531795             -1.229538
AT1G62510             2.339875             2.386531             1.476478
AT1G62840             0.230658             0.731372             -0.818185
AT1G65420             0.837230             0.844156             -0.179490
AT1G66930             -0.004025             -1.044437             -0.184067
AT1G69570             1.067216             0.552988             -0.425350
AT1G70470             0.933352             1.077697             -0.116463
AT1G70660             2.114010             2.131980             0.732776
AT1G71480             1.326857             1.274856             0.077165
AT1G72060             1.878581             1.908484             0.153480
AT1G72070             1.156710             0.978374             -0.824245
AT1G72600             0.767014             0.769029             -0.460237
AT1G72850             0.306374             -0.165023             -1.082316
AT1G72860             0.286905             -0.552687             -1.107783
AT1G74875             0.047100             -0.777242             0.152664
AT1G75290             0.849862             -0.452003             0.659774
AT1G78480             0.839834             0.614316             -0.277460
AT1G79780             0.442237             -0.514841             0.046776
AT2G01008             1.437621             1.155674             0.165990
AT2G02750             -0.410592             -0.390848             -1.308724
AT2G05810             1.023870             0.330312             -1.295103
AT2G07687             0.432307             0.451964             -0.868253
AT2G07695             0.224947             0.088603             -1.195901
AT2G07696             0.947741             0.950963             -0.655903
AT2G07706             2.666239             1.741332             -1.331009
AT2G07727             0.569876             0.544504             -0.750181
AT2G07728             0.222774             -0.569644             -0.786565
AT2G11035             0.241519             -0.884150             0.430322
AT2G13550             0.461832             -0.694034             0.129726
AT2G13965             1.650645             0.047226             1.790526
AT2G16586             1.833710             1.738340             0.063018
AT2G20710             0.148276             0.168148             -0.863333
AT2G21950             1.403079             1.419589             -1.070535
AT2G23755             0.753309             0.665444             -0.923312
AT2G23985             1.172638             1.196125             -0.088229
AT2G25650             1.181395             1.262967             0.295147
AT2G27389             0.858052             0.832928             -0.735822
AT2G28670             1.313803             1.597011             -1.115528
AT2G28671             1.221584             -0.261647             -1.179227
AT2G29420             1.282584             1.288794             -0.104325
AT2G29950             -0.034851             0.435600             -0.781283
