Sailfish	Salmon	STAR-HTSeq
AT1G05250             65.036100             67.933130             0.167388
AT1G18000             30.150100             16.300304             0.062953
AT1G24880             1716.144000             1531.780231             0.462708
AT1G27920             22.624600             0.830422             0.055753
AT2G05810             10.565020             2.139497             0.050687
AT2G07706             463.702000             55.122928             0.046665
AT2G21950             25.297600             26.277808             0.085009
AT2G28670             20.596941             39.537638             0.076643
AT2G28671             16.656500             0.547461             0.066187
AT3G25820             5.278230             8.802255             0.042357
AT3G59400             71.348700             72.851955             0.295943
AT4G02970             24.085700             0.145142             75.081830
AT4G22485             12.069900             21.472620             0.061070
AT4G33666             61.629600             64.065236             0.374452
AT5G55450             48.001200             48.341918             0.159847
AT5G61900             9.505440             9.757545             0.057808
AT5G67490             166.413000             170.942061             0.180061
ATCG00640             177.093000             10.865598             4058.120027
ATCG01310             527.703000             972.696625             2.938788
ATMG00030             1025.820000             1.282456             1430.189714
