Name    TPM
AT1G19090.1    0
AT1G18320.1    0.452471
AT5G11100.1    2.49092
AT4G35335.1    12.7907
AT1G60930.1    0.629163
AT1G17000.1    0
AT3G55270.1    13.4125
AT4G16150.1    25.8462
AT3G18150.1    0
AT3G52310.1    1.14431
AT3G08943.1    8.66592
AT4G15950.1    13.4055
AT5G60900.1    2.17759
AT5G18710.1    0.149171
AT1G64460.1    6.20509
AT2G31100.1    0
AT1G60260.1    10.4823
AT2G06210.1    8.69378
AT3G57180.1    7.15543
ATMG01320.1    3.95426
AT4G15130.1    9.39862
AT5G39100.1    0.418647
AT4G16110.1    7.49605
AT5G26800.1    51.7975
AT4G16360.1    21.8585
ATMG00060.1    9.8332
AT1G76820.1    3.92704
AT3G05780.1    0
AT1G24405.1    1.14426
AT2G27490.4    14.9527
AT2G27490.1    1.51657
AT2G27490.3    0
AT2G27490.2    3.46816
AT3G13276.1    6.05909
AT1G71740.1    18.3565
AT1G52920.1    0.222342
AT2G17370.1    6.93186
AT4G13615.1    160.018
AT3G46680.1    0.0741781
AT1G70830.3    0
AT1G70830.2    0
AT1G70830.5    0
AT1G70830.4    0
AT1G70830.1    32.5045
AT2G34090.3    0
AT2G34090.2    0.88481
AT2G34090.1    7.11084
AT2G34090.4    0
AT2G34090.5    0.450583
AT1G65541.1    0
AT2G01050.1    0
AT2G07751.1    5.17086
AT4G20565.1    0
AT1G61566.1    0
AT4G29530.2    0.636904
AT4G29530.1    4.59472
AT5G09225.1    60.3823
AT1G21100.1    20.7509
AT1G73150.1    1.72943
AT1G73150.2    0.855031
AT3G51750.3    0.943627
AT3G51750.1    2.53245
AT3G51750.2    0.703759
AT1G07010.1    7.56737
AT1G07010.2    4.31681e-09
AT1G07010.3    0
AT1G32080.1    33.4597
AT1G16710.5    8.96653e-06
AT1G16710.7    2.40797
AT1G16710.1    0.871184
AT1G16710.4    0
AT1G16710.8    0
AT1G16710.10    0
AT1G16710.6    0.0170796
AT1G16710.3    0
AT1G16710.9    0.860873
AT1G16710.2    0
AT1G07590.1    307.4
AT5G49170.1    4.5586
AT2G40240.1    1.20793
AT4G30380.2    0
AT4G30380.1    0
AT2G20619.1    0
AT3G05830.2    0.223974
AT3G05830.1    5.87861
AT3G05830.3    0
AT5G11430.6    0
AT5G11430.2    0.364875
AT5G11430.4    0.313152
AT5G11430.3    0.274296
AT5G11430.5    0
AT5G11430.1    3.98847
AT1G20530.1    0.661449
AT4G23170.1    14.9441
AT1G44780.2    1.81166
AT1G44780.1    2.14681
AT1G60880.1    0
AT1G06160.1    17.0112
AT3G07260.1    0
AT1G21090.1    8.36269
AT1G21090.2    0
AT1G76730.1    38.6765
AT1G03970.1    30.8176
AT5G19160.1    1.43636
AT5G19160.2    0.239227
AT3G49744.1    0
AT5G28820.1    0
AT4G12530.1    0.159814
AT4G20050.1    0
AT4G20050.5    0
AT4G20050.3    0
AT4G20050.2    0
AT4G20050.6    1.47863e-08
AT4G20050.7    0.623552
AT4G20050.4    0
AT5G53810.1    1.18077
AT2G28690.1    1.85767
AT5G01530.1    2922.08
AT3G62800.3    0
AT3G62800.1    5.84987
AT3G62800.2    5.66801
ATCG00900.1    649.206
AT3G11385.1    0.378742
AT5G07010.1    24.3509
AT3G63040.1    0
AT2G26570.2    0.162128
AT2G26570.1    15.2672
AT3G05560.2    6.96584
AT3G05560.3    1.58399
AT3G05560.1    161.213
AT5G12080.3    2.52111
AT5G12080.2    0.773169
AT5G12080.1    0
AT1G50870.1    0
AT2G20610.2    3.3217
AT2G20610.1    37.9968
AT5G02940.2    0.845899
AT5G02940.1    6.87285
AT1G68430.1    2.05433
AT1G66550.2    0
AT1G66550.1    0
AT1G09380.1    0.651975
AT3G48840.1    0
AT3G48840.2    0
AT5G61800.1    1.25508
AT5G01445.1    4.11703
AT4G35500.1    0.763992
AT4G35500.2    2.56204
AT1G80310.1    26.7213
AT2G39400.2    3.39913
AT2G39400.1    39.7948
AT4G04990.1    4.77733
AT3G60530.1    115.106
AT2G46180.1    7.89848
AT2G22270.1    4.5976
AT2G22270.2    5.02594
AT2G43660.1    0
AT2G43660.2    1.27439
AT1G03910.2    0.0171594
AT1G03910.1    18.9427
AT1G77590.1    12.2947
AT1G77590.2    5.60943e-05
AT1G79020.1    6.76504
AT5G24420.1    3.04341
AT5G39490.1    0
AT3G26922.2    0.628275
AT3G26922.1    7.06637e-06
AT3G26922.4    0
AT3G26922.5    1.63163
AT3G26922.3    0
AT3G50450.1    0.351262
AT3G17160.1    56.3027
AT1G34315.1    13.8468
AT5G08580.2    0.196178
AT5G08580.1    9.41586
AT2G28360.1    7.16449
AT4G25000.1    4.79835
AT5G27410.4    10.0737
AT5G27410.1    1.67231
AT5G27410.3    1.17486
AT5G27410.2    0
AT5G65200.1    4.84525
AT5G23535.1    19.9499
AT5G23535.2    0.798569
AT1G05230.1    0
AT1G05230.5    0
AT1G05230.12    0.238591
AT1G05230.6    0
AT1G05230.2    0.850848
AT1G05230.11    0
AT1G05230.3    2.34653
AT1G05230.7    0
AT1G05230.10    0
AT1G05230.9    0
AT1G05230.4    0
AT1G05230.8    0
AT1G79830.1    0
AT1G79830.3    8.11201
AT1G79830.2    26.1502
AT1G79830.4    1.77236
AT1G79830.5    0.288125
AT5G09480.1    27.1929
AT5G56480.1    0
AT5G60820.1    4.12897
AT5G55820.7    0.0216936
AT5G55820.5    0
AT5G55820.8    0.0216936
AT5G55820.10    0
AT5G55820.4    0
AT5G55820.9    0
AT5G55820.2    0.094458
AT5G55820.11    0
AT5G55820.3    1.12739
AT5G55820.6    0.0018335
AT5G55820.1    0
AT5G44950.1    0
AT4G31140.1    11.9562
AT4G35910.1    3.91886
AT3G56220.2    0.624757
AT3G56220.1    2.22588
AT2G19970.1    11.4746
AT5G54520.1    4.82788
AT2G04032.1    0.212787
AT5G03455.1    151.574
AT5G03455.2    0.155096
AT1G48140.2    0
AT1G48140.1    31.5196
AT4G15050.1    0
