Sailfish	Salmon	STAR-HTSeq
AT1G01700             1.064816             0.183241             1.625095
AT1G02430             4.875650             2.088949             0.562895
AT1G02705             19.899400             17.278804             1.430174
AT1G03495             4.644700             0.300438             4.963168
AT1G03940             3.756080             0.117850             3.336519
AT1G03990             2.859460             0.081986             3.516418
AT1G04290             30.257600             26.435589             2.566877
AT1G04940             42.642900             43.664276             0.974924
AT1G05090             14.591500             14.844292             1.810467
AT1G05250             65.036100             67.933130             0.167388
AT1G06250             1.399300             0.099794             2.418247
AT1G06450             3.695680             2.574308             0.274894
AT1G07590             307.400000             327.749214             29.014578
AT1G08270             4.728830             0.427710             1.684808
AT1G08590             2.465890             1.188755             0.030535
AT1G09610             1.130410             1.184086             0.110312
AT1G11900             3.131660             3.280206             0.322073
AT1G12210             1.072838             0.962905             0.037510
AT1G14450             149.527000             156.994840             4.845516
AT1G15190             1.168810             0.087445             1.482418
AT1G15825             9.438870             2.363839             0.321117
AT1G15840             1.528390             0.123222             1.943115
AT1G17610             2.015440             2.554516             0.071839
AT1G17744             0.282249             1.083475             0.131331
AT1G17990             4.288465             4.476932             0.157865
AT1G18000             30.150100             16.300304             0.062953
AT1G18980             25.085400             27.396886             0.588133
AT1G19396             63.263590             52.400131             6.148178
AT1G19630             0.520357             0.058499             0.035319
AT1G20470             5.761880             0.864128             0.526601
AT1G24880             1716.144000             1531.780231             0.462708
AT1G26250             90.648100             98.467731             1.136728
AT1G26720             1.589320             0.138854             0.168562
AT1G27920             22.624600             0.830422             0.055753
AT1G31200             7.382470             4.811582             0.326938
AT1G34315             13.846800             2.156205             21.817850
AT1G44740             1.384270             0.096676             1.990997
AT1G47130             6.478730             3.267806             49.189334
AT1G48560             0.239850             1.322836             0.053282
AT1G50750             0.730074             0.084961             0.925807
AT1G51550             7.819930             7.134439             0.810177
AT1G53230             43.479800             44.456201             2.538909
AT1G55180             2.823526             0.336394             3.556412
AT1G55670             2767.120000             4021.986883             279.574901
AT1G58220             6.050100             7.075843             0.826982
AT1G58848             12.199357             13.064109             0.196095
AT1G59218             3.287271             3.402479             0.058947
AT1G62510             218.713000             243.517949             29.955591
AT1G62840             1.700820             5.387315             0.151990
AT1G65420             6.874330             6.984837             0.661470
AT1G66930             0.990776             0.090274             0.654535
AT1G69570             11.673900             3.572627             0.375535
AT1G70470             8.577320             11.959050             0.764781
AT1G70660             130.019880             135.512815             5.404755
AT1G71480             21.225450             18.830266             1.194443
AT1G72060             75.610300             80.999752             1.423902
AT1G72070             14.345320             9.514243             0.149884
AT1G72600             5.848090             5.875284             0.346548
AT1G72850             2.024760             0.683876             0.082734
AT1G72860             1.936000             0.280100             0.078022
AT1G74875             1.114550             0.167016             1.421230
AT1G75290             7.077210             0.353181             4.568508
AT1G78480             6.915670             4.114491             0.527886
AT1G79780             2.768450             0.305604             1.113721
AT2G01008             27.391800             14.311144             1.465513
AT2G02750             0.388515             0.406586             0.049122
AT2G05810             10.565020             2.139497             0.050687
AT2G07687             2.705870             2.831155             0.135440
AT2G07695             1.678600             1.226319             0.063694
AT2G07696             8.866270             8.932297             0.220850
AT2G07706             463.702000             55.122928             0.046665
AT2G07727             3.714290             3.503513             0.177754
AT2G07728             1.670220             0.269374             0.163469
AT2G11035             1.743890             0.130572             2.693530
AT2G13550             2.896223             0.202286             1.348111
AT2G13965             44.734700             1.114875             61.734264
AT2G16586             68.188300             54.744444             1.156160
AT2G20710             1.406940             1.472813             0.136983
AT2G21950             25.297600             26.277808             0.085009
AT2G23755             5.666420             4.628541             0.119313
AT2G23985             14.881217             15.708143             0.816152
AT2G25650             15.184300             18.321748             1.973092
AT2G27389             7.211930             6.806562             0.183729
AT2G28670             20.596941             39.537638             0.076643
AT2G28671             16.656500             0.547461             0.066187
AT2G29420             19.168300             19.444381             0.786457
AT2G29950             0.922887             2.726468             0.165469
AT2G30766             6.873679             1.286694             0.074099
AT2G32650             70.002380             73.883182             2.758461
AT2G35860             14.589400             14.694324             1.119240
AT2G36220             33.878000             35.309095             3.819407
AT2G40850             0.831678             0.037624             0.999901
AT2G42865             33.829400             4.449054             62.765590
AT2G45530             16.862100             17.455865             0.641093
AT2G46970             22.983847             0.252395             0.228949
AT2G47880             31.598200             32.881782             0.454691
AT2G47930             82.763400             86.005255             10.012160
AT3G01200             34.120300             34.972776             2.980716
AT3G04700             2.852630             3.167569             0.247635
AT3G05930             4.449320             0.122717             0.148854
AT3G06868             5.941650             5.944755             0.334518
AT3G08520             1972.420000             315.275329             2864.284433
AT3G11110             9.211600             1.059543             11.706802
AT3G13276             6.059090             0.940924             15.459505
AT3G14630             0.456205             0.059699             0.577540
AT3G16380             0.144907             0.654231             0.060830
AT3G19020             1.625330             0.029249             2.154441
AT3G22210             63.247900             43.297676             2.447108
AT3G22570             8.255240             7.412672             0.265754
AT3G24020             35.269100             32.267908             1.109913
AT3G25820             5.278230             8.802255             0.042357
AT3G26430             14.176300             15.056935             0.182613
AT3G27025             0.625703             0.075019             0.907857
AT3G28150             3.774510             0.259136             4.780021
AT3G28770             0.239491             0.029472             0.266718
AT3G41762             3.893360             0.097410             2.124207
AT3G45060             0.748894             0.052260             0.947605
AT3G46230             5.392690             5.656186             0.589201
AT3G47295             116.211000             120.480207             9.950946
AT3G51490             0.381435             0.044978             0.597881
AT3G52105             52.875400             58.558255             2.215473
AT3G52526             49.312000             13.514444             3.011313
AT3G54085             41.448962             50.946924             0.655314
AT3G55200             5.732690             5.787455             0.498559
AT3G55220             6.669900             6.904632             0.684082
