id	Salmon	Sailfish	STAR	RPKM
AT1G08310	0.834023	0.793804	4812.254177	0.5
AT1G29720	0.208425	0.191222	1124.364372	0.21
AT1G29730	2.20345	2.005155	12594.58406	1.82
AT1G51820	0.135275	0.112837	1881.984985	0.07
AT1G53990	0.294929	0.281622	3298.332565	0.23
AT1G73066	0.031885	0.029469	141.617283	0.03
AT2G05380	10542.6541	9779.09278	0.598743	6412.24
AT2G20700	0.963359	0.953343	8849.719185	0.54
AT2G36160	253.123	244.728403	0.033965	200.02
AT2G39310	662.5553	580.477678	0.123359	508.1
AT2G47400	1296.4	1252.98144	0.03443	1416.93
AT4G01350	0.065059	0.05989	724.537278	0.06
AT4G19645	0.073569	0.070241	1868.380219	0.06
AT5G11740	978.346	937.919489	0.03209	1360.25
AT5G23411	150.775	1026.51968	0.073793	0
AT5G37780	517.01442	503.212381	0.059487	337.35
AT5G39480	0.000271	0.041287	56.457523	0
AT5G41700	2133.72196	1833.797435	0.185039	859.78
AT5G44620	0.077393	0.071267	361.558354	0.07
AT5G61400	0.037756	0.03508	490.868765	0.03
