GeneName	GeneID	SalmonTPM	SailfishTPM	STARTPM
HY5	AT5G11260	6.17024		6.43332		7.124225356
PRR5	AT5G24470	84.562141	91.7749		103.4922684
PRR7	AT5G02810	97.553577	107.0044		119.2979636
PRR9	AT2G46790	6.548459		7.632473		5.158476284
phyA	AT1G09570	61.89408		68.17929		75.51196371
phyB	AT2G18790	15.296494	16.7314		18.68267009
CRY1	AT4G08920	57.631513	62.7802		69.41324092
CRY2	AT1G04400	71.639667	78.18298		86.97469273
CRY3	AT5G24850	8.156158		8.77154		9.730799885
HYH	AT3G17609	12.025673	12.29619		12.91232349
ZTL	AT5G57360	19.690278	21.3202		23.51923858
FKF1	AT1G68050	42.002859	45.4753		47.23930267
LKP2	AT2G18915	11.809487	13.58072		12.63474164
HSP90	AT3G07770	19.038766	20.6851		23.29742402
ELF3	AT2G25930	26.053166	28.4161		31.21988918
HSFA1A	AT4G17750	7.149334		7.73452		8.93875837
WRKY33	AT2G38470	6.226086		6.74415		7.569897299
WRKY22	AT4G01250	7.489664		7.93151		8.821769297
bZIP10	AT4G02640	31.635748	33.768335	37.69700713
RVE7	AT1G18330	77.781802	68.3333		26.295337
RVE1	AT5G17300	21.789876	23.2428		24.931384
PNT1	AT5G22130	2.767668		2.97572		3.329829
MYC2	AT1G32640	0		4.38479		0
MYC4	AT4G17880	31.652906	34.275		37.930297
CIB2	AT4G34700	168.58217	175.532		194.954344
CDF5	AT1G69570	5.557177		6.01614		0.809291
ERF34	AT2G44940	47.928179	50.6939		56.167987
ERF39	AT4G16750	31.983466	33.7473		37.918633
HB5	AT5G65310	224.299168	243.02346	270.90917
MYB13	AT1G06180	1.892523		1.97834		2.183331
TG	AT1G36060	2.193099		2.35538		2.691063
PIF4	AT2G43010	176.510896	191.98302	213.97877
DOF1	AT1G51700	22.163359	23.5501		26.000041
ELIP1	AT3G22840	0.765862		0.79828		0.969019
BBX16	AT1G73870	7.696202		8.24123		9.10114
BBX20	AT4G39070	0.923736		0.9817		1.144124
BBX21	AT1G75540	77.636541	83.4329		93.828152
BBX24	AT1G06040	198.722085	198.4673		166.211942
BBX25	AT2G31380	29.300885	30.9885		34.51484
BBX30	AT4G15248	8.884003		8.75039		9.642066
BBX31	AT3G21890	14.907888	15.6093		17.309127
BBX32	AT3G21150	0.116435		0.123083		0.135877
TOC1	AT5G61380	53.680753	58.408		65.148972
STO	AT1G06040	198.722085	198.4673		166.211942
STH	AT2G31380	29.300885	30.9885		34.51484
COP1	AT2G32950	20.308021	22.0408		24.113697
SPA1	AT2G46340	28.224994	30.91949		34.679672
