AT1G01380    ETC1
AT1G01470    LEA14;LSR3
AT1G02500    ATSAM1;MAT1;METK1;SAM-1;SAM1
AT1G02620    AT1G02620
AT1G03410    2A6
AT1G03840    MGP
AT1G04180    YUC9
AT1G04380    AT1G04380
AT1G04490    AT1G04490
AT1G05190    EMB2394
AT1G05820    ATSPPL5;SPPL5
AT1G07660    AT1G07660
AT1G07920    AT1G07920
AT1G08290    WIP3
AT1G08310    AT1G08310
AT1G08520    ALB-1V;ALB1;CHLD;PDE166;V157
AT1G08660    MGP2
AT1G08730    ATXIC;XIC
AT1G09340    CRB;CSP41B;HIP1.3
AT1G09410    AT1G09410
AT1G09500    AT1G09500
AT1G10470    ARR4;ATRR1;IBC7;MEE7
AT1G11280    AT1G11280
AT1G11340    AT1G11340
AT1G12030    AT1G12030
AT1G12080    AT1G12080
AT1G12090    ELP
AT1G12270    HOP1
AT1G13390    AT1G13390
AT1G13430    ATST4C;ST4C
AT1G14315    AT1G14315
AT1G15200    AT1G15200
AT1G15500    ATNTT2
AT1G15625    
AT1G15720    TRFL5
AT1G15750    TPL;WSIP1
AT1G16260    AT1G16260
AT1G16770    AT1G16770
AT1G16840    AT1G16840
AT1G17020    ATSRG1;SRG1
AT1G17990    AT1G17990
AT1G18410    AT1G18410
AT1G19190    AT1G19190
AT1G19485    AT1G19485
AT1G19620    AT1G19620
AT1G19660    ATBBD2;BBD2
AT1G20080    ATSYTB;NTMC2T1.2;NTMC2TYPE1.2;SYT2;SYTB
AT1G20480    AT1G20480
AT1G20570    AT1G20570
AT1G21060    AT1G21060
AT1G21210    WAK4
AT1G21520    AT1G21520
AT1G22070    TGA3
AT1G22300    14-3-3EPSILON;GF14;GRF10
AT1G24880    ATLPXC2;LPXC2
AT1G26220    AT1G26220
AT1G26890    AT1G26890
AT1G27695    AT1G27695
AT1G27720    TAF4;TAF4B
AT1G29710    AT1G29710
AT1G29720    AT1G29720
AT1G29730    AT1G29730
AT1G29880    AT1G29880
AT1G29930    AB140;CAB1;CAB140;LHCB1.3
AT1G29965    AT1G29965
AT1G29990    PFD6
AT1G30710    AT1G30710
AT1G31150    AT1G31150
AT1G31240    AT1G31240
AT1G31800    CYP97A3;LUT5
AT1G31840    AT1G31840
AT1G31885    NIP3;1
AT1G31990    AT1G31990
AT1G32070    ATNSI;NSI
AT1G32270    ATSYP24;SYP24
AT1G32700    AT1G32700
AT1G32960    ATSBT3.3;SBT3.3
AT1G35630    AT1G35630
AT1G48300    DGAT3
AT1G49610    AT1G49610
AT1G49790    AT1G49790
AT1G50650    AT1G50650
AT1G51430    AT1G51430
AT1G51650    AT1G51650
AT1G51790    AT1G51790
AT1G51820    AT1G51820
AT1G52280    ATRABG3D;RABG3D
AT1G52640    AT1G52640
AT1G53660    AT1G53660
AT1G53680    ATGSTU28;GSTU28
AT1G53885    AT1G53885
AT1G53990    GLIP3
AT1G54040    ESP;ESR;TASTY
AT1G54690    G-H2AX;GAMMA-H2AX;H2AXB;HTA3
AT1G54990    AXR4;RGR;RGR1
AT1G55170    AT1G55170
AT1G55390    AT1G55390
AT1G56280    ATDI19;DI19
AT1G58983    AT1G58983
AT1G60950    ATFD2;FD2;FED
AT1G61065    AT1G61065
AT1G61780    AT1G61780
AT1G61860    AT1G61860
AT1G62040    ATG8C
AT1G62250    AT1G62250
AT1G62320    AT1G62320
AT1G62480    AT1G62480
AT1G63860    AT1G63860
AT1G64220    TOM7-2
AT1G64860    RPOD1;SIG1;SIG2;SIGA;SIGB
AT1G65290    MTACP2
AT1G65295    AT1G65295
AT1G65620    AS2
AT1G65820    AT1G65820
AT1G65890    AAE12
AT1G66240    ATATX1;ATX1
AT1G66430    AT1G66430
AT1G66510    AT1G66510
AT1G67740    PSBY;YCF32
AT1G68530    CER6;CUT1;G2;KCS6;POP1
AT1G68560    ATXYL1;AXY3;TRG1;XYL1
AT1G68800    BRC2;TCP12
AT1G68930    AT1G68930
AT1G69710    AT1G69710
AT1G69790    AT1G69790
AT1G70110    AT1G70110
AT1G70270    AT1G70270
AT1G70460    ATPERK13;PERK13;RHS10
AT1G70580    AOAT2;GGT2
AT1G70860    AT1G70860
AT1G70940    ATPIN3;PIN3
AT1G71140    AT1G71140
AT1G72370    AP40;P40;RP40;RPSAA
AT1G72480    AT1G72480
AT1G73066    AT1G73066
AT1G73300    SCPL2
AT1G73700    AT1G73700
AT1G74730    AT1G74730
AT1G74870    AT1G74870
AT1G75220    ATERDL6;ERDL6
AT1G75620    AT1G75620
AT1G77405    AT1G77405
AT1G77960    AT1G77960
AT1G78950    ATBAS;ATLUP4;BAS
AT1G79040    PSBR
AT1G79930    ATHSP70-14;HSP91
AT1G80240    DGR1
AT1G80540    AT1G80540
AT2G01021    AT2G01021
AT2G01430    ATHB-17;ATHB17;HB17
AT2G01510    AT2G01510
AT2G02180    TOM3
AT2G02760    ATUBC2;UBC2;UBC2
AT2G03510    AT2G03510
AT2G04400    AT2G04400
AT2G04410    AT2G04410
AT2G04780    FLA7
AT2G05380    GRP3S
AT2G05520    ATGRP-3;ATGRP3;GRP-3;GRP3
AT2G05642    AT2G05642
AT2G05710    ACO3
AT2G09990    AT2G09990
AT2G11225    
AT2G15400    NRPE3B;RBP36B
AT2G18720    AT2G18720
AT2G19440    AT2G19440
AT2G20700    LLG2
AT2G21045    AT2G21045
AT2G21160    AT2G21160
AT2G21660    ATGRP7;CCR2;GR-RBP7;GRP7
AT2G22125    CSI1;POM2
AT2G22600    AT2G22600
AT2G22860    ATPSK2;PSK2
AT2G23610    ATMES3;MES3
AT2G24040    AT2G24040
AT2G24130    AT2G24130
AT2G25150    AT2G25150
AT2G25980    AT2G25980
AT2G28740    HIS4
AT2G29440    ATGSTU6;GST24;GSTU6
AT2G30060    AT2G30060
AT2G30440    PLSP2B;TPP
AT2G30900    TBL43
AT2G32070    AT2G32070
AT2G32160    AT2G32160
AT2G32500    AT2G32500
AT2G33040    ATP3
AT2G34020    AT2G34020
AT2G34100    AT2G34100
AT2G34230    AT2G34230
AT2G35490    AT2G35490
AT2G36160    AT2G36160
AT2G36530    ENO2;LOS2
AT2G37000    AT2G37000
AT2G37280    ABCG33;ATPDR5;PDR5
AT2G37290    AT2G37290
AT2G37678    FHY1;FRY1;PAT3
AT2G37980    AT2G37980
AT2G38360    PRA1.B4
AT2G38465    AT2G38465
AT2G38820    AT2G38820
AT2G39010    PIP2;6;PIP2E
AT2G39310    JAL22
AT2G39730    RCA
AT2G40260    AT2G40260
AT2G40610    ATEXP8;ATEXPA8;ATHEXP;EXP8;EXPA8
AT2G40750    ATWRKY54;WRKY54
AT2G40880    ATCYSA;CYSA;FL3-27
AT2G41430    CID1;ERD15;LSR1
AT2G41475    AT2G41475
AT2G42600    ATPPC2;PPC2
AT2G43370    AT2G43370
AT2G44590    ADL1D;DL1D
AT2G44610    ATRAB6A;ATRABH1B;RAB6;RAB6A
AT2G45180    AT2G45180
AT2G45960    ATHH2;PIP1;2;PIP1B;TMP-A
AT2G47400    CP12;CP12-1
AT2G47460    ATMYB12;MYB12;PFG1
AT2G47550    AT2G47550
AT2G47640    AT2G47640
AT2G47910    CRR6
AT2G48130    AT2G48130
AT3G01270    AT3G01270
AT3G01400    AT3G01400
AT3G02730    ATF1;TRXF1
AT3G02850    SKOR
AT3G03660    WOX11
AT3G04000    AT3G04000
AT3G04320    AT3G04320
AT3G04590    AT3G04590
AT3G04700    AT3G04700
AT3G05345    AT3G05345
AT3G05390    AT3G05390
AT3G05937    AT3G05937
AT3G06610    AT3G06610
AT3G06700    AT3G06700
AT3G06970    AT3G06970
AT3G08790    AT3G08790
AT3G08940    LHCB4.2
AT3G09085    AT3G09085
AT3G09260    BGLU23;LEB;PSR3.1;PYK10
AT3G09860    AT3G09860
AT3G10470    AT3G10470
AT3G11080    ATRLP35;RLP35
AT3G11500    AT3G11500
AT3G12060    TBL1
AT3G12490    ATCYS6;ATCYSB;CYSB
AT3G12770    MEF22
AT3G12833    
AT3G13380    BRL3
AT3G13410    AT3G13410
AT3G13882    AT3G13882
AT3G14040    AT3G14040
AT3G14060    AT3G14060
AT3G14260    AT3G14260
AT3G14640    CYP72A10
AT3G15000    MORF8;RIP1
AT3G15050    IQD10
AT3G15190    PRPS20
AT3G15240    AT3G15240
AT3G15260    AT3G15260
AT3G16420    JAL30;PBP1;PBPI
AT3G16610    AT3G16610
AT3G16640    TCTP
AT3G16660    AT3G16660
AT3G16670    AT3G16670
AT3G18360    AT3G18360
AT3G19820    CBB1;DIM;DIM1;DWF1;EVE1
AT3G20760    AT3G20760
AT3G20950    CYP705A32
AT3G21055    PSBTN
AT3G21520    ATDMP1;DMP1
AT3G23450    AT3G23450
AT3G24575    
AT3G25010    ATRLP41;RLP41
AT3G25011    AT3G25011
AT3G25530    ATGHBDH;GHBDH;GLYR1;GR1
AT3G25717    DVL6;RTFL16
AT3G26220    CYP71B3
AT3G26240    AT3G26240
AT3G27730    MER3;RCK
AT3G44460    ATBZIP67;DPBF2
AT3G44690    AT3G44690
AT3G44713    AT3G44713
AT3G45440    AT3G45440
AT3G46440    UXS5
AT3G47090    AT3G47090
AT3G47110    AT3G47110
AT3G47720    SRO4
AT3G48010    ATCNGC16;CNGC16
AT3G48770    AT3G48770
AT3G51920    ATCML9;CAM9;CML9
AT3G52920    AT3G52920
AT3G52940    ELL1;FK;HYD2
AT3G53780    ATRBL4;RBL4
AT3G53840    AT3G53840
AT3G53850    AT3G53850
AT3G54420    ATCHITIV;ATEP3;CHIV;EP3
AT3G54890    LHCA1
AT3G55090    ABCG16
AT3G55980    ATSZF1;SZF1
AT3G56050    AT3G56050
AT3G56360    AT3G56360
AT3G57470    AT3G57470
AT3G57785    AT3G57785
AT3G58850    HLH2;PAR2
AT3G58900    AT3G58900
AT3G59250    AT3G59250
AT3G59760    ATCS-C;OASC
AT3G59830    AT3G59830
AT3G60415    
AT3G60700    AT3G60700
AT3G60970    ABCC15;ATMRP15;MRP15
AT3G61600    ATPOB1;LRB2;POB1
AT3G61920    AT3G61920
AT3G61990    OMTF3
AT3G62290    ARFA1E;ATARFA1E
AT3G62890    AT3G62890
AT3G63160    OEP6
AT3G66654    AT3G66654
AT4G00070    AT4G00070
AT4G00165    AT4G00165
AT4G00695    AT4G00695
AT4G00700    AT4G00700
AT4G00810    AT4G00810
AT4G01350    AT4G01350
AT4G01370    ATMPK4;MAPK4;MPK4
AT4G01925    AT4G01925
AT4G04740    ATCPK23;CPK23
AT4G06534    AT4G06534
AT4G07825    AT4G07825
AT4G08700    ATPUP13
AT4G09320    ATNDK1;NDK1;NDPK1
AT4G09800    RPS18C
AT4G10010    AT4G10010
AT4G10560    MEE53
AT4G10600    AT4G10600
AT4G10610    ATRBP37;CID12;RBP37
AT4G11000    AT4G11000
AT4G11211    AT4G11211
AT4G11440    AT4G11440
AT4G11600    ATGPX6;GPX6;LSC803;PHGPX
AT4G11655    AT4G11655
AT4G12060    AT4G12060
AT4G12420    SKU5
AT4G12800    PSAL
AT4G12880    ATENODL19;ENODL19
AT4G13430    ATLEUC1;IIL1
AT4G13500    AT4G13500
AT4G15236    ABCG43
AT4G16370    ATOPT3;OPT3;OPT3
AT4G16610    AT4G16610
AT4G16720    AT4G16720
AT4G17870    PYR1;RCAR11
AT4G17880    MYC4
AT4G17970    ALMT12;ATALMT12;QUAC1
AT4G18400    AT4G18400
AT4G18510    CLE2
AT4G18910    ATNLM2;NIP1;2;NLM2
AT4G19050    AT4G19050
AT4G19220    AT4G19220
AT4G19645    AT4G19645
AT4G20040    AT4G20040
AT4G20235    CYP71A28
AT4G21380    ARK3;RK3
AT4G21430    B160
AT4G22214    AT4G22214
AT4G22510    AT4G22510
AT4G22670    ATHIP1;HIP1;TPR11
AT4G22745    MBD1
AT4G23130    CRK5;RLK6
AT4G23210    CRK13
AT4G23280    CRK20
AT4G23630    BTI1;RTNLB1
AT4G23670    AT4G23670
AT4G25000    AMY1;ATAMY1
AT4G25080    CHLM
AT4G25110    ATMC2;ATMCP1C;MC2;MCP1C
AT4G25570    ACYB-2
AT4G25850    ORP4B
AT4G25860    ORP4A
AT4G26020    AT4G26020
AT4G26370    AT4G26370
AT4G27440    PORB
AT4G27510    AT4G27510
AT4G28060    AT4G28060
AT4G28720    YUC8
AT4G28840    TIE1
AT4G30960    ATCIPK6;CIPK6;SIP3;SNRK3.14
AT4G32650    ATKC1;ATLKT1;KAT3;KC1
AT4G32940    GAMMA-VPE;GAMMAVPE
AT4G33390    AT4G33390
AT4G34460    AGB1;ATAGB1;ELK4
AT4G34620    SSR16
AT4G35570    HMGB5;HMGD;NFD05;NFD5
AT4G36105    AT4G36105
AT4G36250    ALDH3F1
AT4G36730    ATGBF1;GBF1
AT4G38660    AT4G38660
AT4G38830    CRK26
AT4G38920    ATVHA-C3;AVA-P3;VHA-C3
AT4G38950    AT4G38950
AT4G38970    ATFBA2;FBA2
AT4G39070    BBX20;BZS1
AT4G39730    PLAT1
AT4G39810    AT4G39810
AT5G01070    AT5G01070
AT5G01300    AT5G01300
AT5G01960    AT5G01960
AT5G02120    OHP;PDE335
AT5G02380    MT2B
AT5G02480    AT5G02480
AT5G02502    AT5G02502
AT5G03530    ATRAB;ATRAB;ATRAB18B;ATRABC2A;RABC2A
AT5G05070    AT5G05070
AT5G05080    ATUBC22;UBC22
AT5G05170    ATCESA3;ATH-B;CESA3;CEV1;ELI1;IXR1;MRE1
AT5G05490    ATREC8;DIF1;REC8;SYN1
AT5G06070    RAB;RBE
AT5G06360    AT5G06360
AT5G06650    GIS2
AT5G06790    AT5G06790
AT5G07450    CYCP4;3
AT5G09270    AT5G09270
AT5G09330    ANAC082;NAC082;VNI1
AT5G09640    SCPL19;SNG2
AT5G09800    AT5G09800
AT5G11080    AT5G11080
AT5G11740    AGP15;ATAGP15
AT5G12110    AT5G12110
AT5G12130    ATTERC;PDE149
AT5G12370    SEC10
