id	control2	Sailfish	Salmon	STAR
AT1G01010    2.070000    2.552850    2.384445    2.819201
AT1G01020    16.520000    39.695480    36.583120    44.485217
AT1G01030    0.200000    0.244405    0.227587    0.269928
AT1G01040    10.790000    13.016104    11.820325    13.591551
AT1G01050    62.410000    85.799820    81.592994    94.332809
AT1G01060    1.120000    1.612480    1.484787    1.749155
AT1G01070    12.430000    14.876590    13.831480    16.588666
AT1G01080    47.770000    60.403424    55.814066    67.393412
AT1G01090    141.250000    150.727000    139.947458    167.383884
AT1G01100    278.040000    550.047090    550.212413    591.092382
AT1G01110    4.110000    4.517310    4.191976    5.029444
AT1G01120    112.450000    126.622000    117.255177    141.011339
AT1G01130    7.480000    21.016500    25.798612    27.198599
AT1G01140    54.570000    68.791600    63.141067    76.253018
AT1G01160    30.060000    45.395950    42.787895    41.667665
AT1G01170    106.900000    214.031700    228.777353    126.052439
AT1G01180    9.750000    9.869540    9.276388    11.131769
AT1G01190    24.080000    33.761100    31.171738    38.041492
AT1G01200    3.750000    3.971260    3.770153    4.456718
AT1G01210    12.450000    19.966850    19.703072    22.641591
AT1G01220    12.300000    14.578829    13.224758    15.479999
AT1G01225    2.190000    2.812120    2.689953    3.187388
AT1G01230    53.280000    72.481900    69.221495    80.498705
AT1G01240    13.200000    21.520010    19.900731    23.944347
AT1G01250    6.230000    8.296680    8.063743    9.258892
AT1G01260    7.300000    9.239870    7.956591    9.627627
AT1G01290    15.500000    16.896810    15.921526    18.624532
AT1G01300    87.160000    96.057800    88.651626    106.969701
AT1G01320    30.180000    34.657050    31.444366    38.644277
AT1G01340    1.380000    1.644640    1.517346    13.238289
AT1G01360    22.820000    25.939000    24.013984    4.654692
AT1G01370    3.020000    4.187521    4.055993    104.575044
AT1G01380    62.900000    94.616300    91.373089    0.231589
AT1G01420    24.860000    31.656350    27.028115    107.328234
AT1G01430    102.060000    96.443500    89.193422    10.832681
AT1G01470    409.160000    287.898000    268.995795    0.623301
AT1G01480    0.380000    0.520981    0.486111    43.686127
AT1G01490    39.770000    39.238520    36.593038    11.556813
AT1G01500    9.390000    10.506800    9.795801    19.876414
AT1G01510    17.330000    17.882600    16.309596    2.400829
AT1G01540    24.890000    32.122000    29.264125    156.000503
AT1G01550    112.540000    139.470200    130.126585    0.896828
AT1G01560    0.620000    0.812148    0.760286    0.832824
AT1G01570    0.560000    0.754283    0.709390    0.120928
AT1G01600    1.180000    1.413530    1.306113    51.556095
AT1G01610    38.430000    45.902700    42.646733    663.113344
