id	NumReads	control2Reads
AT1G18320    30.96    13.00
AT5G11100    117.00    114.00
AT4G35335    564.00    550.00
AT1G60930    173.00    169.00
AT3G55270    827.00    867.00
AT4G16150    1088.00    1079.00
AT3G52310    16.00    16.00
AT3G08943    639.30    459.00
AT4G15950    346.00    343.00
AT5G18710    10.00    10.00
AT1G64460    708.00    367.00
AT2G31100    6.00    6.00
AT1G60260    995.00    1137.00
AT2G06210    807.00    777.00
AT3G57180    166.00    165.00
AT4G15130    315.00    298.00
AT4G16110    299.00    296.00
AT5G26800    328.00    373.00
AT4G16360    873.00    827.00
AT1G76820    164.69    90.00
AT1G24405    6.00    2.00
AT2G27490    143.66    141.00
AT1G71740    39.00    33.00
AT1G52920    4.00    1.00
AT2G17370    294.00    265.00
AT4G13615    2408.00    1489.00
AT1G70830    18749.51    17728.00
AT2G34090    426.00    121.00
AT4G29530    52.00    52.00
AT5G09225    314.00    312.00
AT1G21100    238.28    198.00
AT1G73150    220.00    211.00
AT3G51750    8.00    8.00
AT1G07010    384.00    373.00
AT1G32080    1987.00    1940.00
AT1G16710    818.99    793.00
AT1G07590    15347.08    14544.00
AT5G49170    260.00    253.00
AT2G40240    39.00    37.00
AT3G05830    175.00    167.00
AT5G11430    213.15    185.00
AT1G20530    9.00    9.00
AT4G23170    104.63    74.00
AT1G44780    226.00    234.00
AT1G06160    10.00    10.00
AT3G07260    1.06    1.00
AT1G21090    351.00    336.00
AT1G76730    601.00    593.00
AT1G03970    188.00    88.00
AT5G19160    141.00    133.00
AT4G20050    2.00    2.00
AT5G53810    6.00    25.00
AT5G01530    38332.00    37100.00
AT3G62800    175.00    174.00
AT5G07010    174.73    152.00
AT2G26570    563.00    516.00
AT3G05560    2335.00    2285.00
AT5G12080    462.00    453.00
AT2G20610    2254.00    2214.00
AT5G02940    732.99    733.00
AT1G68430    119.00    102.00
AT5G61800    36.00    36.00
AT5G01445    7.00    6.00
AT4G35500    140.00    138.00
AT1G80310    537.89    550.00
AT2G39400    589.00    577.00
AT3G60530    2410.00    2351.00
AT2G46180    627.00    607.00
AT2G22270    347.00    350.00
AT1G03910    841.00    815.00
AT1G77590    589.00    576.00
AT1G79020    255.00    263.00
AT5G24420    6.00    8.00
AT3G26922    105.00    82.00
AT3G17160    671.00    643.00
AT1G34315    23.00    173.00
AT5G08580    470.00    458.00
AT2G28360    540.00    530.00
AT4G25000    20.00    20.00
AT5G27410    592.93    483.00
AT5G65200    96.00    84.00
AT5G23535    319.00    348.00
AT1G05230    533.00    466.00
AT1G79830    2006.00    1983.00
AT5G60820    199.00    195.00
AT5G55820    116.00    115.00
AT4G31140    678.00    661.00
AT4G35910    202.00    196.00
AT3G56220    20.00    16.00
AT2G19970    36.00    26.00
AT5G54520    118.00    135.00
AT5G03455    803.00    784.00
AT1G48140    297.00    293.00
AT2G32600    396.00    391.00
AT2G41010    356.00    343.00
AT4G09012    66.00    112.00
AT5G02710    293.00    220.00
AT4G10110    175.00    156.00
AT5G16380    540.00    532.00
AT5G40630    149.00    165.00
AT1G55670    25393.58    28009.00
AT5G66940    53.00    33.00
AT3G06520    1.00    3.00
AT3G52870    1572.00    1547.00
AT3G02900    495.00    489.00
AT5G57660    7415.00    7268.00
AT4G23690    145.00    136.00
AT5G45700    126.00    115.00
AT5G40410    16.00    16.00
AT3G06580    930.00    915.00
AT3G14920    502.00    455.00
AT1G77610    791.00    786.00
AT1G19170    263.00    274.00
AT2G20740    820.00    787.00
AT4G27150    11.00    14.00
AT2G26000    125.00    122.00
AT1G29070    2187.00    2132.00
AT5G65560    145.00    137.00
AT1G04170    1371.00    1336.00
AT1G29250    577.00    572.00
AT3G51050    890.00    882.00
AT5G23060    2937.00    2842.00
AT4G14770    332.33    235.00
AT1G14630    73.00    72.00
AT3G21480    252.00    232.00
