id	reads
AT1G19090.1    0.000
AT1G18320.1    30.963
AT5G11100.1    117.000
AT4G35335.1    564.000
AT1G60930.1    173.000
AT1G17000.1    0.000
AT3G55270.1    827.000
AT4G16150.1    1088.000
AT3G18150.1    0.000
AT3G52310.1    16.000
AT3G08943.1    639.300
AT4G15950.1    346.000
AT5G60900.1    0.000
AT5G18710.1    10.000
AT1G64460.1    708.000
AT2G31100.1    6.000
AT1G60260.1    995.000
AT2G06210.1    807.000
AT3G57180.1    166.000
ATMG01320.1    3.000
AT4G15130.1    315.000
AT5G39100.1    0.000
AT4G16110.1    299.000
AT5G26800.1    328.000
AT4G16360.1    873.000
ATMG00060.1    0.000
AT1G76820.1    164.694
AT3G05780.1    0.000
AT1G24405.1    6.000
AT2G27490.4    53.381
AT2G27490.1    90.276
AT2G27490.3    0.000
AT2G27490.2    0.000
AT3G13276.1    0.000
AT1G71740.1    39.000
AT1G52920.1    4.000
AT2G17370.1    294.000
AT4G13615.1    2408.000
AT3G46680.1    0.000
AT1G70830.3    339.847
AT1G70830.2    8.306
AT1G70830.5    3418.004
AT1G70830.4    463.682
AT1G70830.1    14519.671
AT2G34090.3    0.000
AT2G34090.2    33.820
AT2G34090.1    392.180
AT2G34090.4    0.000
AT2G34090.5    0.000
AT1G65541.1    0.000
AT2G01050.1    0.000
AT2G07751.1    0.000
AT4G20565.1    0.000
AT1G61566.1    0.000
AT4G29530.2    0.000
AT4G29530.1    52.000
AT5G09225.1    314.000
AT1G21100.1    238.278
AT1G73150.1    220.000
AT1G73150.2    0.000
AT3G51750.3    0.000
AT3G51750.1    0.000
AT3G51750.2    8.000
AT1G07010.1    384.000
AT1G07010.2    0.000
AT1G07010.3    0.000
AT1G32080.1    1987.000
AT1G16710.5    51.703
AT1G16710.7    767.286
AT1G16710.1    0.000
AT1G16710.4    0.000
AT1G16710.8    0.000
AT1G16710.10    0.000
AT1G16710.6    0.000
AT1G16710.3    0.000
AT1G16710.9    0.000
AT1G16710.2    0.000
AT1G07590.1    15347.085
AT5G49170.1    260.000
AT2G40240.1    39.000
AT4G30380.2    0.000
AT4G30380.1    0.000
AT2G20619.1    0.000
AT3G05830.2    39.030
AT3G05830.1    135.970
AT3G05830.3    0.000
AT5G11430.6    0.000
AT5G11430.2    0.000
AT5G11430.4    0.000
AT5G11430.3    10.548
AT5G11430.5    30.304
AT5G11430.1    172.298
AT1G20530.1    9.000
AT4G23170.1    104.634
AT1G44780.2    0.000
AT1G44780.1    226.000
AT1G60880.1    0.000
AT1G06160.1    10.000
AT3G07260.1    1.064
AT1G21090.1    351.000
AT1G21090.2    0.000
AT1G76730.1    601.000
AT1G03970.1    188.000
AT5G19160.1    0.000
AT5G19160.2    141.000
AT3G49744.1    0.000
AT5G28820.1    0.000
AT4G12530.1    0.000
AT4G20050.1    0.000
AT4G20050.5    0.000
AT4G20050.3    0.000
AT4G20050.2    0.000
AT4G20050.6    0.000
AT4G20050.7    2.000
AT4G20050.4    0.000
AT5G53810.1    6.000
AT2G28690.1    0.000
AT5G01530.1    38332.000
AT3G62800.3    0.000
AT3G62800.1    166.659
AT3G62800.2    8.341
ATCG00900.1    47.000
AT3G11385.1    0.000
AT5G07010.1    174.733
AT3G63040.1    0.000
AT2G26570.2    0.000
AT2G26570.1    563.000
AT3G05560.2    0.000
AT3G05560.3    212.699
AT3G05560.1    2122.298
AT5G12080.3    0.000
AT5G12080.2    240.274
AT5G12080.1    221.726
AT1G50870.1    0.000
AT2G20610.2    780.151
AT2G20610.1    1473.849
AT5G02940.2    38.121
AT5G02940.1    694.871
AT1G68430.1    119.000
AT1G66550.2    0.000
AT1G66550.1    0.000
AT1G09380.1    0.000
AT3G48840.1    0.000
AT3G48840.2    0.000
AT5G61800.1    36.000
AT5G01445.1    7.000
AT4G35500.1    19.289
AT4G35500.2    120.711
AT1G80310.1    537.888
AT2G39400.2    440.682
AT2G39400.1    148.318
AT4G04990.1    0.000
AT3G60530.1    2410.000
AT2G46180.1    627.000
AT2G22270.1    190.970
AT2G22270.2    156.030
AT2G43660.1    0.000
AT2G43660.2    0.000
AT1G03910.2    606.875
AT1G03910.1    234.125
AT1G77590.1    0.000
AT1G77590.2    589.000
AT1G79020.1    255.000
AT5G24420.1    6.000
