id	name		Sailfish	Salmon	STAR
"At1g01530	"	"AGL28			"		0	0	35.213432
"At1g17310	"	"AGL100			"		0	0	5.651633
"At1g18750	"	"AGL65			"		5.382192	4.81717	16.966312
"At1g22130	"	"AGL104			"		0	0	1.297488
"At1g22590	"	"AGL87			"		27.880461	26.744954	72.104021
"At1g24260	"	"""AGL9, SEP3""			"		0	0	0.629833
"At1g26310	"	"""agl10, CAL, CAL1""			"		0	0	0
"At1g28450	"	"AGL58			"		0	0	88.844495
"At1g28460	"	"AGL59			"		0	0	6.780231
"At1g29960	"	"AGL64			"		15.1892	14.366265	0
"At1g31140	"	"agl63			"		0.112617	0.100161	9.829172
"At1g31630	"	"AGL86			"		0	0	2.749888
"At1g31640	"	"AGL92			"		0	0	17.961437
"At1g33070	"	"			"		0	0	3.452713
"At1g46408	"	"AGL97			"		0	0	5.543205
"At1g47760	"	"AGL102			"		0.220027	0.216146	0
"At1g48150	"	"AGL74			"		0	0	24.230525
"At1g54760	"	"AGL85			"		0	0	64.67808
"At1g59810	"	"AGL50			"		0.711988	0.687963	7.364544
"At1g60040	"	"AGL49			"		0	0	41.793483
"At1g60880	"	"AGL56			"		0	0	0
"At1g60920	"	"agl55			"		0	0	0
"At1g65300	"	"""AGL38, PHE2""			"		0	0	0.361513
"At1g65330	"	"""AGL37, PHE1, PHeres1""			"		0	0	46.251373
"At1g65360	"	"AGL23			"		0	0	0.661903
"At1g69120	"	"""AGL7, AP1""			"		0	0	8.566636
"At1g69540	"	"AGL94			"		2.95402	2.82512	0.16168
"At1g71692	"	"""AGL12, XAL1""			"		7.05884	6.710037	22.443511
"At1g72350	"	"AGL60			"		0	0	0.399317
"At1g77080	"	"""AGL27, FLM, MAF1, MAF1/FLM""			"		86.833932	77.342613	61.509499
"At1g77950	"	"AGL67			"		0	0	64.682141
"At1g77980	"	"AGL66			"		0	0	0.674615
"At2g03060	"	"AGL30			"		8.218635	6.99502	57.413055
"At2g03710	"	"""AGL3, SEP4""			"		6.42531	5.875505	386.107447
"At2g11990	"	"AGL88			"		"0 		0		0"		
"At2g14210	"	"""AGL44, ANR1""			"		0	0	0.358497
"At2g15660	"	"AGL95			"		0	0	10.393916
"At2g22540	"	"""AGL22, SVP""			"		112.0629	99.986227	0
"At2g22630	"	"AGL17			"		0	0	5.196591
"At2g24840	"	"""AGL61, DIA""			"		0	0	24.829837
"At2g26320	"	"AGL33			"		0	0	2387.657958
"At2g26880	"	"AGL41			"		0	0	68.002806
"At2g28700	"	"AGL46			"		0	0	15.938474
"At2g34440	"	"AGL29			"		0.174841	0	3.952679
"At2g40210	"	"AGL48			"		0	0	0
"At2g42830	"	"""AGL5, SHP2""			"		0.424992	0.404911	51.353657
"At2g45650	"	"AGL6			"		0	0	16.764663
"At2g45660	"	"""AGL20, SOC, SOC1""			"		8.06686	7.588257	10.608508
"At3g02310	"	"""AGL4, SEP2""			"		0	0	16.572551
"At3g04100	"	"AGL57			"		0	0	21.508597
"At3g05860	"	"AGL45			"		0	0	25.519509
"At3g18650	"	"agl103			"		0	0	34.819463
"At3g30260	"	"AGL79			"		0	0	0.146509
"At3g54340	"	"AP3			"		0	0	2.006439
"At3g57230	"	"AGL16			"		34.647022	31.014352	0
"At3g57390	"	"AGL18			"		8.45404	7.354149	7.238466
"At3g58780	"	"""AGL1, SHP1""			"		1.29716	0	11.082401
"At3g61120	"	"AGL13			"		0.088525	0	185.940885
"At3g66656	"	"AGL91			"		0	0	0
"At4g02240	"	"AGL51			"		"0		0		0"		
"At4g09960	"	"""AGL11, STK""			"		0	0	2.353725
"At4g11250	"	"AGL52			"		0	0	7.797829
"At4g11880	"	"AGL14			"		0	0	1.444815
"At4g18960	"	"AG			"		0	0	1.170664
"At4g22950	"	"""AGL19, GL19""			"		0	0	13.998356
"At4g24540	"	"AGL24			"		0.488552	0.465097	35.021216
"At4g36590	"	"AGL40			"		0	0	16.189823
"At4g37940	"	"AGL21			"		0	0	0.78625
"At5g04640	"	"AGL99			"		0	0	0
"At5g06500	"	"AGL96			"		0	0	0.458374
"At5g10140	"	"""AGL25, FLC, FLF, FLF/FLC""			"		39.07849	36.740531	1.89794
"At5g13790	"	"AGL15			"		10.7679	9.06908	9.023749
"At5g15800	"	"""AGL2, SEP1""			"		0	0	54.461736
"At5g20240	"	"PI			"		3.912955	3.670535	218.882045
"At5g23260	"	"""ABS, AGL32, TT16""			"		0	0	0
"At5g26575	"	"AGL34			"		"0		0		0"		
"At5g26630	"	"AGL35			"		0.766297	0.75246	0
"At5g26650	"	"AGL36			"		0	0	0
"At5g26870	"	"AGL26			"		"0		0		0"		
"At5g26950	"	"AGL93			"		0	0	41.433912
"At5g27050	"	"AGL101			"		0	0	0
"At5g27070	"	"AGL53			"		0	0	0
"At5g27090	"	"AGL54			"		0	0	0
"At5g27130	"	"AGL39			"		0	0	0
"At5g27580	"	"AGL89			"		0	0	0
"At5g27960	"	"AGL90			"		0	0	19.003557
"At5g37420	"	"AGL105			"		0	0	0
"At5g38620	"	"AGL73			"		0	0	0
"At5g38740	"	"AGL77			"		0	0	20.578627
"At5g39750	"	"""AGL81, EMB3008""			"		0	0	113.463305
"At5g39810	"	"AGL98			"		0	0	0
"At5g40120	"	"AGL76			"		0	0	13.895365
"At5g40220	"	"AGL43			"		0	0	16.251776
"At5g41200	"	"AGL75			"		0	0	10.379456
"At5g48670	"	"""AGL80, FEM111""			"		2.20833	2.09767	0
"At5g49420	"	"AGL84			"		0.410323	0.387295	0
"At5g49490	"	"AGL83			"		0	0	18.726534
"At5g51860	"	"AGL72			"		0	0	1.430008
"At5g51870	"	"AGL71			"		0	0	0
"At5g55690	"	"AGL47			"		0	0	0
"At5g58890	"	"AGL82			"		0	0	0.3781
"At5g60440	"	"AGL62			"		0.831185	0.771324	7.041193
"At5g60910	"	"""AGL8, FUL""			"		0	0	40.079634
