AT1G01530	AGL28
AT1G17310	AT1G17310
AT1G18750	AGL65
AT1G22130	AGL104
AT1G22590	AGL87
AT1G24260	AGL9;SEP3
AT1G26310	AGL10;CAL;CAL1
AT1G28450	AGL58
AT1G28460	AGL59
AT1G29960	AT1G29960
AT1G31140	AGL63;GOA
AT1G31630	AGL86
AT1G31640	AGL92
AT1G33070	AT1G33070
AT1G46408	AGL97
AT1G47760	AGL102
AT1G48150	AT1G48150
AT1G54760	AGL85
AT1G59810	AGL50
AT1G60040	AGL49
AT1G60880	AGL56
AT1G60920	AGL55
AT1G65300	AGL38;PHE2
AT1G65330	AGL37;PHE1
AT1G65360	AGL23
AT1G69120	AGL7;AP1
AT1G69540	AGL94
AT1G71692	AGL12;XAL1
AT1G72350	AT1G72350
AT1G77080	AGL27;FLM;MAF1
AT1G77950	AGL67
AT1G77980	AGL66
AT2G03060	AGL30
AT2G03710	AGL3;SEP4
AT2G11990	AGL88
AT2G14210	AGL44;ANR1
AT2G15660	AGL95
AT2G22540	AGL22;FAQ1;SVP
AT2G22630	AGL17
AT2G24840	AGL61;DIA
AT2G26320	AGL33
AT2G26880	AGL41
AT2G28700	AGL46
AT2G34440	AGL29
AT2G40210	AGL48
AT2G42830	AGL5;SHP2
AT2G45650	AGL6;RSB1
AT2G45660	AGL20;ATSOC1;SOC1
AT3G02310	AGL4;SEP2
AT3G04100	AGL57
AT3G05860	AT3G05860
AT3G18650	AGL103
AT3G30260	AGL79
AT3G54340	AP3;ATAP3
AT3G57230	AGL16
AT3G57390	AGL18
AT3G58780	AGL1;SHP1
AT3G61120	AGL13
AT3G66656	AGL91
AT4G02240	
AT4G09960	AGL11;STK
AT4G11250	AGL52
AT4G11880	AGL14
AT4G18960	AG
AT4G22950	AGL19;GL19
AT4G24540	AGL24
AT4G36590	AT4G36590
AT4G37940	AGL21
AT5G04640	AGL99
AT5G06500	AGL96
AT5G10140	AGL25;FLC;FLF;RSB6
AT5G13790	AGL15
AT5G15800	AGL2;SEP1
AT5G20240	PI
AT5G23260	ABS;AGL32;TT16
AT5G26575	
AT5G26630	AT5G26630
AT5G26650	AGL36
AT5G26870	
AT5G26950	AGL93
AT5G27050	AGL101
AT5G27070	AGL53
AT5G27090	AGL54
AT5G27130	AGL39
AT5G27580	AGL89
AT5G27960	AGL90
AT5G37420	AT5G37420
AT5G38620	AT5G38620
AT5G38740	AGL77
AT5G39750	AGL81;EMB3008
AT5G39810	AGL98
AT5G40120	AGL76
AT5G40220	AGL43
AT5G41200	AGL75
AT5G48670	AGL80;FEM111
AT5G49420	AT5G49420
AT5G49490	AGL83
AT5G51860	AGL72
AT5G51870	AGL71
AT5G55690	AT5G55690
AT5G58890	AGL82
AT5G60440	AGL62
AT5G60910	AGL8;FUL
AT5G62165	AGL42;FYF
AT5G65050	AGL31;MAF2
AT5G65060	AGL70;FCL3;MAF3
AT5G65070	AGL69;FCL4;MAF4
AT5G65080	AGL68;MAF5
AT5G65330	AGL78
