id	Name	Sailfish	Salmon	STAR
AT1G01530	AGL28	0	0	35.213432
AT1G17310	AT1G17310	0	0	5.651633
AT1G18750	AGL65	5.382192	4.81717	16.966312
AT1G22130	AGL104	0	0	1.297488
AT1G22590	AGL87	27.880461	26.744954	72.104021
AT1G24260	AGL9;SEP3	0	0	0.629833
AT1G26310	AGL10;CAL;CAL1	0	0	0
AT1G28450	AGL58	0	0	88.844495
AT1G28460	AGL59	0	0	6.780231
AT1G29960	AT1G29960	15.1892	14.366265	0
AT1G31140	AGL63;GOA	0.112617	0.100161	9.829172
AT1G31630	AGL86	0	0	2.749888
AT1G31640	AGL92	0	0	17.961437
AT1G33070	AT1G33070	0	0	3.452713
AT1G46408	AGL97	0	0	5.543205
AT1G47760	AGL102	0.220027	0.216146	0
AT1G48150	AT1G48150	0	0	24.230525
AT1G54760	AGL85	0	0	64.67808
AT1G59810	AGL50	0.711988	0.687963	7.364544
AT1G60040	AGL49	0	0	41.793483
AT1G60880	AGL56	0	0	0
AT1G60920	AGL55	0	0	0
AT1G65300	AGL38;PHE2	0	0	0.361513
AT1G65330	AGL37;PHE1	0	0	46.251373
AT1G65360	AGL23	0	0	0.661903
AT1G69120	AGL7;AP1	0	0	8.566636
AT1G69540	AGL94	2.95402	2.82512	0.16168
AT1G71692	AGL12;XAL1	7.05884	6.710037	22.443511
AT1G72350	AT1G72350	0	0	0.399317
AT1G77080	AGL27;FLM;MAF1	86.833932	77.342613	61.509499
AT1G77950	AGL67	0	0	64.682141
AT1G77980	AGL66	0	0	0.674615
AT2G03060	AGL30	8.218635	6.99502	57.413055
AT2G03710	AGL3;SEP4	6.42531	5.875505	386.107447
AT2G11990	AGL88	0 		0		0		
AT2G14210	AGL44;ANR1	0	0	0.358497
AT2G15660	AGL95	0	0	10.393916
AT2G22540	AGL22;FAQ1;SVP	112.0629	99.986227	0
AT2G22630	AGL17	0	0	5.196591
AT2G24840	AGL61;DIA	0	0	24.829837
AT2G26320	AGL33	0	0	2387.657958
AT2G26880	AGL41	0	0	68.002806
AT2G28700	AGL46	0	0	15.938474
AT2G34440	AGL29	0.174841	0	3.952679
AT2G40210	AGL48	0	0	0
AT2G42830	AGL5;SHP2	0.424992	0.404911	51.353657
AT2G45650	AGL6;RSB1	0	0	16.764663
AT2G45660	AGL20;ATSOC1;SOC1	8.06686	7.588257	10.608508
AT3G02310	AGL4;SEP2	0	0	16.572551
AT3G04100	AGL57	0	0	21.508597
AT3G05860	AT3G05860	0	0	25.519509
AT3G18650	AGL103	0	0	34.819463
AT3G30260	AGL79	0	0	0.146509
AT3G54340	AP3;ATAP3	0	0	2.006439
AT3G57230	AGL16	34.647022	31.014352	0
AT3G57390	AGL18	8.45404	7.354149	7.238466
AT3G58780	AGL1;SHP1	1.29716	0	11.082401
AT3G61120	AGL13	0.088525	0	185.940885
AT3G66656	AGL91	0	0	0
AT4G02240	AT4G02240	0		0		0		
AT4G09960	AGL11;STK	0	0	2.353725
AT4G11250	AGL52	0	0	7.797829
AT4G11880	AGL14	0	0	1.444815
AT4G18960	AG	0	0	1.170664
AT4G22950	AGL19;GL19	0	0	13.998356
AT4G24540	AGL24	0.488552	0.465097	35.021216
AT4G36590	AT4G36590	0	0	16.189823
AT4G37940	AGL21	0	0	0.78625
AT5G04640	AGL99	0	0	0
AT5G06500	AGL96	0	0	0.458374
AT5G10140	AGL25;FLC;FLF;RSB6	39.07849	36.740531	1.89794
AT5G13790	AGL15	10.7679	9.06908	9.023749
AT5G15800	AGL2;SEP1	0	0	54.461736
AT5G20240	PI	3.912955	3.670535	218.882045
AT5G23260	ABS;AGL32;TT16	0	0	0
AT5G26575	AT5G26575	0		0		0		
AT5G26630	AT5G26630	0.766297	0.75246	0
AT5G26650	AGL36	0	0	0
AT5G26870	AT5G26870	0		0		0		
AT5G26950	AGL93	0	0	41.433912
AT5G27050	AGL101	0	0	0
AT5G27070	AGL53	0	0	0
AT5G27090	AGL54	0	0	0
AT5G27130	AGL39	0	0	0
AT5G27580	AGL89	0	0	0
AT5G27960	AGL90	0	0	19.003557
AT5G37420	AT5G37420	0	0	0
AT5G38620	AT5G38620	0	0	0
AT5G38740	AGL77	0	0	20.578627
AT5G39750	AGL81;EMB3008	0	0	113.463305
AT5G39810	AGL98	0	0	0
AT5G40120	AGL76	0	0	13.895365
AT5G40220	AGL43	0	0	16.251776
AT5G41200	AGL75	0	0	10.379456
AT5G48670	AGL80;FEM111	2.20833	2.09767	0
AT5G49420	AT5G49420	0.410323	0.387295	0
AT5G49490	AGL83	0	0	18.726534
AT5G51860	AGL72	0	0	1.430008
AT5G51870	AGL71	0	0	0
AT5G55690	AT5G55690	0	0	0
AT5G58890	AGL82	0	0	0.3781
AT5G60440	AGL62	0.831185	0.771324	7.041193
AT5G60910	AGL8;FUL	0	0	40.079634
AT5G62165	AGL42;FYF	0	0	11.560401
AT5G65050	AGL31;MAF2	74.295712	70.187052	0
AT5G65060	AGL70;FCL3;MAF3	28.89344	24.539664	0
AT5G65070	AGL69;FCL4;MAF4	6.64897	6.400471	1.772216
AT5G65080	AGL68;MAF5	5.03832	3.566084	0.431938
AT5G65330	AGL78	0	0	0
