Name    TPM
AT1G19090.1    0
AT1G18320.1    5.21396
AT5G11100.1    5.21127
AT4G35335.1    34.8057
AT1G60930.1    3.13585
AT1G17000.1    0
AT3G55270.1    18.9896
AT4G16150.1    24.3647
AT3G18150.1    0
AT3G52310.1    0.475341
AT3G08943.1    14.4254
AT4G15950.1    37.5683
AT5G60900.1    0
AT5G18710.1    0.387669
AT1G64460.1    24.2706
AT2G31100.1    0.381949
AT1G60260.1    47.5891
AT2G06210.1    16.1702
AT3G57180.1    5.44386
ATMG01320.1    0.276986
AT4G15130.1    20.1603
AT5G39100.1    0
AT4G16110.1    8.16059
AT5G26800.1    50.0516
AT4G16360.1    39.6266
ATMG00060.1    0
AT1G76820.1    2.56067
AT3G05780.1    0
AT1G24405.1    0.772301
AT2G27490.4    9.69541
AT2G27490.1    2.84975
AT2G27490.3    0
AT2G27490.2    6.98489e-07
AT3G13276.1    3.48519
AT1G71740.1    13.3705
AT1G52920.1    0.232526
AT2G17370.1    9.4508
AT4G13615.1    262.538
AT3G46680.1    0
AT1G70830.3    0
AT1G70830.2    2.69959
AT1G70830.5    421.873
AT1G70830.4    7.44127
AT1G70830.1    877.516
AT2G34090.3    7.76868
AT2G34090.2    3.5228
AT2G34090.1    9.35258
AT2G34090.4    0
AT2G34090.5    0
AT1G65541.1    0
AT2G01050.1    0
AT2G07751.1    3.30408
AT4G20565.1    0
AT1G61566.1    0
AT4G29530.2    0.0165479
AT4G29530.1    3.65493
AT5G09225.1    36.8984
AT1G21100.1    12.4689
AT1G73150.1    5.15144
AT1G73150.2    2.62829
AT3G51750.3    0
AT3G51750.1    3.69302e-05
AT3G51750.2    1.48212
AT1G07010.1    8.07579
AT1G07010.2    10.4889
AT1G07010.3    0
AT1G32080.1    73.5283
AT1G16710.5    0.47575
AT1G16710.7    9.2101
AT1G16710.1    2.32209e-06
AT1G16710.4    0
AT1G16710.8    1.63497e-07
AT1G16710.10    0
AT1G16710.6    0
AT1G16710.3    0
AT1G16710.9    0
AT1G16710.2    0
AT1G07590.1    456.612
AT5G49170.1    17.8287
AT2G40240.1    1.83812
AT4G30380.2    0
AT4G30380.1    0
AT2G20619.1    0
AT3G05830.2    2.08547
AT3G05830.1    7.87481
AT3G05830.3    0
AT5G11430.6    0
AT5G11430.2    0
AT5G11430.4    0
AT5G11430.3    0.380716
AT5G11430.5    1.9561
AT5G11430.1    2.97637
AT1G20530.1    0.28987
AT4G23170.1    4.29369
AT1G44780.2    0.189486
AT1G44780.1    10.2911
AT1G60880.1    0
AT1G06160.1    0.752309
AT3G07260.1    0.0730976
AT1G21090.1    19.4848
AT1G21090.2    0
AT1G76730.1    31.9384
AT1G03970.1    12.657
AT5G19160.1    0.000315664
AT5G19160.2    4.63368
AT3G49744.1    0
AT5G28820.1    0
AT4G12530.1    0
AT4G20050.1    0
AT4G20050.5    0
AT4G20050.3    0
AT4G20050.2    0
AT4G20050.6    0
AT4G20050.7    0.0884439
AT4G20050.4    0
AT5G53810.1    0.291023
AT2G28690.1    0
AT5G01530.1    2142.29
